Case Name,Status,Progress,Summary,State,Bill Information Link,Last Activity Date,Representatives to Contact,Sponsors,Category,Yea Votes,Nay Votes
AL HB4,Active,House Committee,"This bill prohibits school and public libraries from keeping material that is considered ""harmful to minors"" within their collection. Material is considered ""harmful to minors"" if the average person would consider that it appeals to a prurient interest and if it is devoted to or principally consists of descriptions of real, simulated, or animated sexual acts or nudity, and if it lacks literary, artistic, political, or scientific interest to minors. This could be extended to apply to queer and trans content. Additionally, a clause is added to the definition of ""sexual conduct"" that defines any ""knowing expos[ure]"" to ""sexual or gender oriented conduct"" alongside language typically used to refer to Drag performances. Thus, the bill is significantly expanding what is not allowed in K-12 public schools and libraries. It then proceeds to remove the existing immunity to criminal prosecution for public schools/libraries under obscenity laws, even when acting on behalf of genuine educational purpose, should they fail to remove the content fast enough. Specifically, if a parent has provided written notice asking for the removal of something from the collection, it must be removed/relocated within 15-25 days (depending on circumstance). Violations of this law make the entity liable for potential criminal charges, damages, injunctive relief, and attorney's fees.",Alabama,https://legiscan.com/AL/bill/HB4/2025,2/4/2025,,Arnold Mooney,"Book Ban,Educational Censorship",,
AL HB107,Active,House Committee,"This bill is an attempt to codify the definitions of ""male"" and ""female"" in the Code of Alabama 1975. It states that a person's sex is determined by their reproductive role capacity to produce sperm or ova or their theoretical capacity to do so and that sex is determined at birth and cannot be changed. The bill defines a ""female"" as someone with the reproductive organs to produce an ova and a ""male"" as someone with the reproductive organs to produce sperm. This bill goes into effect October 1st, 2025.",Alabama,https://legiscan.com/AL/bill/HB107/2025,2/4/2025,,Susan DuBose,Trans Erasure,,
AL HB244,Active,House Floor,"This bill amends the current law that prohibits classroom discussion or instruction regarding sexual orientation or gender identity that is not age-appropriate. It expands the prohibition to pre-kindergarten through 12th grade with no exceptions for age appropriate discussions. The bill also prohibits flags or insignia that represent sexual orientation or gender in classrooms. Finally, it prohibits teachers referring to student by a pronoun or title that is inconsistent with the student's biological sex at birth. This bill goes into effect July 1, 2025.",Alabama,https://legiscan.com/AL/bill/HB244/2025,5/1/2025,,Mack Butler,"Educational Censorship,Student Suppression",,
AK HB40,Active,House Committee,"This bill directs public and private schools as well as colleges/universities to classify all interscholastic competitive sports teams as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. According to this bill, “biological sex” is defined by chromosomes, genitalia, and normally produced hormone levels, but will be determined based on a students original birth certificate. Students can sue the educational institution with claims they were harmed or lost some athletic opportunity as a result of a violation of this bill.",Alaska,https://legiscan.com/AK/bill/HB40/2025,4/11/2025,,"Jamie Allard, Mia Costello",Sports,,
AK HB45,Active,House Committee,"This bill would require that the U.S. state flags be displayed daily at government buildings and schools, with the U.S. flag always in the highest position. Additionally, It would prohibit government entities from displaying flags that represent political viewpoints, including those related to race, sexual orientation, gender, or partisan ideology. Furthermore, military members and National Guard members would be allowed to use reasonable force to prevent the desecration or removal of a U.S. flag and would be protected from legal consequences for doing so. The law would take effect on July 1, 2025.",Alaska,https://legiscan.com/AK/bill/HB45/2025,2/14/2025,,"Jamie Allard, George Rauscher",Other,,
AZ HB2062,Active,Veto Override Vote,"This bill is an attempt to codify the definitions of ""male"" and ""female"" in the state's general statutes. It states that a person's sex is determined by their capacity to produce sperm or ova or their theoretical capacity to do so, and that sex is determined at birth and cannot be changed. The bill defines a ""female"" as someone with the reproductive organs to produce an egg and a ""male"" as someone with the reproductive organs to produce sperm. This bill restricts the ability of governmental programs to collect SOGI data. This inhibits the ability to collect vital statistics, which are used to curate programs that provide essential support for queer youth. Without these anonymous surveys, such programs are at serious risk for budget cuts, since without proof of existence queer youth are assumed to not exist. Schools, government agencies, and/or state departments that report statistics to the government must identify individuals as ""male"" or ""female."" If any given section of this bill is found to be illegal, the rest of the bill remains in effect.",Arizona,https://legiscan.com/AZ/bill/HB2062/2025,4/15/2025,,"Lisa Fink, Rachel Jones, Khyl Powell, Michael Way",Trans Erasure,,
AZ HB2438,Active,Conference Between Chambers,"This bill combines several different policies pertaining to birth certificates. This bill requires birth certificates to have a sex designation that can only be changed following a ""sex change operation"" and a court order.",Arizona,https://legiscan.com/AZ/bill/HB2438/2025,4/17/2025,,"Rachel Jones, Leo Biasiucci, Joseph Chaplik, Lupe Diaz, Lisa Fink, John Gillette, Ralph Heap, Alexander Kolodin, Nick Kupper, David Marshall, Michele Pena, Beverly Pingerelli, Khyl Powell, James Taylor, Jeff Weninger",Documents,,
AZ SB1002,Active,Veto Override Vote,"This bill prohibits public school employees and contractors from using pronouns or names for students that differ from the student's ""biological sex"" unless the school or school board receives written permission from the student's parent. This bill states that public schoool employees and contractors may not be required as a condition of their employment to use personal pronouns or titles for another person that ""do not correspond to that person's sex.""",Arizona,https://legiscan.com/AZ/bill/SB1002/2025,5/12/2025,,John Kavanagh,Student Suppression,,
AZ SB1003,Active,Veto Override Vote,"This bill prohibits people from entering bathrooms and changing rooms that do not correspond to their sex assigned at birth in school. In this bill, ""sex"" is defined by the person's genitalia and genetics at birth. Violations of this law make the entity liable to be sued for damages.",Arizona,https://legiscan.com/AZ/bill/SB1003/2025,5/12/2025,,John Kavanagh,"Bathrooms,Student Suppression",,
AZ SB1687,Active,Senate Committee,"Amends under-18 ban on gender transition surgeries already in effect in Arizona. This bill mandates that no health care professional shall be allowed to provide or prescribe treatments to patients under 18 for any transition-related care or refer minor patients to other providers for transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill specifically allows an exception for ""corrective"" procedures for intersex traits. Violations are considered unprofessional conduct by a medical professional and subject to disciplinary action and possible lawsuits. It also declares that all money paid to or used for anyone’s gender transition may not be tax deductible.

This bill prohibits the use of public funds to pay for gender-affirming medical care for both minors and adults. This prohibition includes puberty blockers, surgeries, and hormone replacement therapy. Medicaid is not allowed to cover these treatments, and any amount paid for gender-affirming care by an individual or organization is not tax-deductible. Health care professionals employed by state or local government may not provide gender-affirming medical care, and public facilities may not be used to provide this care. Any intentional violation of these provisions by a public officer or employee will be considered a misuse of public moneys. The bill specifically allows an exception for ""corrective"" procedures for intersex traits. ",Arizona,https://legiscan.com/AZ/bill/SB1687/2025,2/11/2025,,Vince Leach,Health Care,,
